flight_distance,departure_delay_in_minutes,age,gender,customer_type,type_of_travel,class,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,satisfaction
3690,0,30,Male,Loyal Customer,Business travel,Business,0,5,0,3,4,5,5,4,4,3,5,5,5,4,1
252,0,66,Male,Loyal Customer,Personal Travel,Eco,3,3,3,3,2,3,2,2,4,5,3,4,4,2,0
1096,0,55,Female,Loyal Customer,Personal Travel,Eco,1,2,1,3,5,2,3,3,3,1,3,4,3,4,0
125,0,39,Male,Loyal Customer,Personal Travel,Eco,4,3,4,3,5,4,5,5,4,5,1,3,4,5,0
2153,71,42,Male,disloyal Customer,Business travel,Business,1,1,1,4,4,1,4,4,4,5,5,4,5,4,0
1614,0,58,Male,Loyal Customer,Business travel,Business,3,5,5,5,3,3,3,2,2,2,3,2,2,3,0
181,0,21,Male,disloyal Customer,Business travel,Eco,4,0,4,5,5,4,5,5,4,5,4,4,5,5,0
2226,0,60,Male,Loyal Customer,Business travel,Business,0,5,0,2,5,5,5,4,4,4,4,4,4,5,1
748,0,69,Female,Loyal Customer,Personal Travel,Eco,3,5,4,3,1,4,1,5,5,4,5,3,5,1,0
624,0,24,Female,disloyal Customer,Business travel,Eco,5,5,5,3,4,5,4,4,5,2,5,4,5,4,1
1088,0,43,Female,disloyal Customer,Business travel,Eco,3,3,3,1,2,3,3,2,4,4,3,3,2,2,0
1075,0,47,Female,Loyal Customer,Personal Travel,Eco,1,5,1,3,3,5,4,2,2,1,2,3,2,4,0
250,0,9,Female,Loyal Customer,Personal Travel,Eco,2,5,2,4,2,2,2,2,3,5,4,5,5,2,0
581,0,23,Male,Loyal Customer,Personal Travel,Eco,4,5,4,1,3,4,3,3,4,3,5,5,4,3,0
1497,0,41,Female,disloyal Customer,Business travel,Business,1,2,2,3,3,1,2,3,4,5,4,4,4,3,0
547,0,18,Male,Loyal Customer,Business travel,Business,5,5,5,5,5,5,5,5,3,2,5,4,5,5,1
143,0,64,Male,Loyal Customer,Business travel,Eco Plus,4,4,4,4,4,4,4,4,2,4,1,2,5,4,1
404,7,44,Female,Loyal Customer,Personal Travel,Eco,3,4,3,3,2,1,3,3,3,3,3,5,3,1,0
445,2,19,Male,Loyal Customer,Personal Travel,Eco,4,4,2,3,2,2,2,2,1,5,3,1,3,2,1
787,0,16,Male,Loyal Customer,Personal Travel,Eco Plus,3,4,3,2,4,3,4,4,5,2,5,3,5,4,0
319,0,61,Female,Loyal Customer,Personal Travel,Eco,1,4,1,4,5,3,3,3,3,1,3,1,3,2,0
405,5,31,Female,Loyal Customer,Personal Travel,Business,1,5,1,4,1,1,1,1,3,2,5,4,4,1,0
370,7,31,Female,Loyal Customer,Business travel,Eco,1,5,5,5,1,1,1,1,2,4,4,2,4,1,0
1250,0,66,Male,Loyal Customer,Personal Travel,Eco,3,4,2,5,5,2,5,5,4,2,4,5,5,5,0
3436,4,38,Female,Loyal Customer,Business travel,Business,1,1,1,1,2,4,5,3,3,4,3,5,3,4,1
554,0,33,Male,disloyal Customer,Business travel,Eco,3,4,3,2,4,3,4,4,4,4,4,5,5,4,0
1714,0,39,Male,Loyal Customer,Business travel,Business,1,2,1,1,5,4,5,4,4,5,4,2,4,3,1
3004,0,43,Male,Loyal Customer,Business travel,Business,3,3,3,3,2,5,4,5,5,5,5,4,5,5,1
2580,0,45,Female,Loyal Customer,Business travel,Business,5,5,5,5,2,4,4,5,5,5,5,5,5,5,1
828,0,41,Female,Loyal Customer,Personal Travel,Eco,0,4,0,1,3,0,3,3,5,2,5,5,4,3,1
1119,3,11,Male,disloyal Customer,Business travel,Business,3,3,3,4,4,3,3,4,2,3,3,4,4,4,0
1322,34,23,Male,disloyal Customer,Business travel,Eco,4,4,4,3,1,4,1,1,3,4,3,3,4,1,1
3489,0,43,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,4,5,5,5,5,5,3,5,3,1
3270,0,54,Female,Loyal Customer,Business travel,Business,5,5,5,5,2,4,5,5,5,5,5,4,5,5,1
174,0,27,Male,disloyal Customer,Business travel,Eco,3,5,3,4,4,3,4,4,1,2,3,2,1,4,0
399,0,22,Male,disloyal Customer,Business travel,Business,4,0,4,4,3,4,3,3,4,4,5,3,4,3,1
247,14,54,Female,Loyal Customer,Personal Travel,Eco,2,5,2,2,4,4,5,2,2,2,2,3,2,3,0
833,0,34,Male,disloyal Customer,Business travel,Eco,1,1,1,1,1,1,1,1,5,3,4,5,5,1,0
3230,0,71,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,5,5,4,4,4,4,3,4,3,1
67,31,25,Male,disloyal Customer,Business travel,Eco,2,4,2,1,1,2,3,1,2,5,2,1,1,1,0
2870,27,26,Male,Loyal Customer,Business travel,Business,3,3,3,3,3,3,3,3,3,2,3,1,4,3,0
2523,47,43,Female,Loyal Customer,Business travel,Business,2,2,2,2,4,5,4,4,4,4,4,3,4,5,1
3496,0,49,Female,Loyal Customer,Business travel,Business,3,3,3,3,4,5,4,4,4,4,4,3,4,3,1
2454,31,42,Female,Loyal Customer,Personal Travel,Eco,2,4,2,3,4,4,4,4,4,2,4,5,4,5,0
110,0,60,Male,Loyal Customer,Business travel,Eco Plus,1,1,1,1,1,1,1,1,4,1,3,1,2,1,0
1009,0,65,Female,Loyal Customer,Personal Travel,Eco,2,5,2,2,4,4,4,3,3,2,3,4,3,4,0
919,0,25,Female,disloyal Customer,Business travel,Business,3,5,3,2,5,3,5,5,3,5,5,5,4,5,0
748,0,59,Female,Loyal Customer,Personal Travel,Eco,2,5,2,3,3,5,5,3,3,2,3,4,3,5,0
655,0,20,Male,Loyal Customer,Personal Travel,Eco,3,0,3,3,3,3,1,3,4,2,3,5,1,3,0
612,0,31,Male,Loyal Customer,Business travel,Business,5,5,5,5,3,3,3,3,4,3,5,4,5,3,1
1998,0,46,Male,Loyal Customer,Business travel,Business,1,1,1,1,3,4,1,4,4,5,4,5,4,2,1
937,0,10,Male,Loyal Customer,Personal Travel,Eco,3,1,3,4,3,3,3,3,1,5,4,1,4,3,0
1121,0,39,Female,Loyal Customer,Personal Travel,Eco,3,5,3,5,3,3,3,3,4,3,4,4,4,3,0
861,0,32,Male,Loyal Customer,Business travel,Eco,4,3,3,3,4,4,4,4,2,5,1,1,5,4,1
861,225,60,Male,Loyal Customer,Business travel,Eco Plus,3,4,4,4,3,3,3,3,1,3,4,3,2,3,0
2125,0,66,Female,Loyal Customer,Business travel,Eco,1,4,4,4,5,1,1,1,1,1,1,1,1,3,0
427,0,13,Female,Loyal Customer,Personal Travel,Eco,4,1,4,1,1,4,1,1,4,4,1,4,1,1,0
1956,0,42,Female,Loyal Customer,Business travel,Business,0,4,0,2,4,5,5,3,3,3,3,4,3,3,1
1833,4,38,Male,Loyal Customer,Business travel,Business,2,2,2,2,5,3,5,4,4,4,4,3,4,2,1
746,0,29,Male,Loyal Customer,Personal Travel,Eco,1,5,1,1,1,1,1,1,3,2,4,4,5,1,0
1017,0,50,Male,Loyal Customer,Business travel,Business,3,3,3,3,2,4,4,3,3,3,3,3,3,5,1
1768,6,28,Female,Loyal Customer,Business travel,Business,0,0,0,2,4,4,4,4,4,2,5,3,4,4,1
1069,0,42,Male,Loyal Customer,Business travel,Eco,2,2,2,2,2,2,2,2,4,3,2,2,2,2,0
100,0,65,Female,Loyal Customer,Personal Travel,Business,2,3,2,1,2,5,1,2,2,2,4,2,2,4,0
503,3,58,Male,Loyal Customer,Personal Travel,Eco,2,4,2,5,4,2,5,4,5,2,4,5,4,4,0
296,13,53,Male,Loyal Customer,Business travel,Eco Plus,4,5,5,5,4,4,4,4,4,4,4,3,4,4,1
946,0,36,Female,Loyal Customer,Personal Travel,Eco,2,1,1,2,1,1,1,1,3,4,3,4,2,1,0
516,21,22,Female,disloyal Customer,Business travel,Business,4,0,4,1,3,4,3,3,4,1,2,1,1,3,1
352,92,59,Male,Loyal Customer,Business travel,Eco,5,3,3,3,5,5,5,5,2,3,4,1,4,5,1
351,0,56,Male,Loyal Customer,Business travel,Eco,4,1,1,1,4,4,4,4,5,3,5,3,3,4,1
1670,0,54,Male,Loyal Customer,Business travel,Business,5,5,2,5,3,4,5,4,4,4,4,5,4,4,1
912,1,17,Female,Loyal Customer,Personal Travel,Eco Plus,3,5,3,1,1,3,1,1,4,4,4,4,4,1,0
3194,0,56,Male,Loyal Customer,Business travel,Business,2,2,5,2,3,4,3,2,2,2,2,2,2,2,0
421,39,39,Male,Loyal Customer,Business travel,Eco Plus,2,1,1,1,2,3,2,2,5,5,2,5,5,2,1
189,0,34,Male,Loyal Customer,Business travel,Eco,1,4,4,4,1,1,1,1,2,3,3,3,3,1,0
1399,0,27,Female,Loyal Customer,Personal Travel,Eco,0,3,0,2,4,0,4,4,1,2,2,4,3,4,1
594,37,33,Male,disloyal Customer,Business travel,Business,2,2,2,1,3,2,4,3,4,4,5,4,5,3,0
3036,0,27,Male,Loyal Customer,Business travel,Business,4,2,4,4,4,5,4,4,4,2,4,3,5,4,1
1222,0,54,Male,Loyal Customer,Personal Travel,Eco,3,4,2,3,2,2,1,2,4,1,3,4,1,2,0
95,0,50,Female,Loyal Customer,Business travel,Business,1,5,5,5,3,3,2,2,2,2,1,1,2,3,0
1744,34,53,Female,Loyal Customer,Business travel,Business,1,1,1,1,3,4,5,5,5,5,5,3,5,4,1
118,0,21,Male,disloyal Customer,Business travel,Eco,1,3,1,4,3,1,3,3,2,5,4,1,3,3,0
495,11,80,Female,Loyal Customer,Business travel,Eco,4,3,5,3,3,4,3,4,4,4,4,4,4,1,0
1709,0,67,Female,Loyal Customer,Business travel,Business,2,4,4,4,1,2,4,2,2,2,2,1,2,3,0
109,0,24,Female,disloyal Customer,Business travel,Eco,2,3,1,4,5,1,3,5,2,3,4,3,3,5,0
760,8,30,Female,Loyal Customer,Business travel,Eco Plus,4,1,1,1,4,3,4,4,2,4,4,2,3,4,0
1189,0,52,Male,Loyal Customer,Business travel,Business,2,2,2,2,1,3,5,4,4,4,4,2,4,2,1
2077,11,53,Male,Loyal Customer,Business travel,Eco,3,5,5,5,3,3,3,3,4,1,3,3,3,3,0
542,17,39,Male,Loyal Customer,Business travel,Eco,5,5,5,5,5,5,5,5,1,2,3,2,5,5,1
2330,0,30,Female,disloyal Customer,Business travel,Business,2,2,2,3,2,2,2,2,4,5,5,3,5,2,0
1069,0,30,Female,Loyal Customer,Business travel,Business,3,3,3,3,5,5,5,5,3,2,1,5,4,5,1
359,0,53,Male,Loyal Customer,Business travel,Eco,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0
3941,0,41,Female,Loyal Customer,Business travel,Business,1,1,1,1,2,5,4,5,5,5,5,5,5,3,1
3416,0,35,Female,Loyal Customer,Business travel,Business,1,3,3,3,3,3,3,1,1,1,1,3,1,1,0
867,0,49,Male,Loyal Customer,Personal Travel,Eco,1,5,1,5,3,1,3,3,4,3,5,3,4,3,0
2296,0,56,Female,Loyal Customer,Business travel,Business,5,5,5,5,4,4,4,5,5,5,5,3,5,4,1
1506,0,20,Male,disloyal Customer,Business travel,Eco,1,1,1,3,1,1,1,1,3,5,3,4,2,1,0
802,0,52,Female,disloyal Customer,Business travel,Eco,2,2,2,3,5,2,5,5,3,1,5,3,1,5,0
628,0,34,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,4,4,4,4,4,4,4,4,5,1
998,0,41,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,5,4,4,4,4,4,5,4,5,1
273,0,59,Female,Loyal Customer,Personal Travel,Eco,4,4,4,1,3,4,4,1,1,4,1,5,1,1,1
1553,0,52,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,1,3,3,3,3,3,2,3,3,1
1546,0,25,Male,disloyal Customer,Business travel,Eco,2,2,2,1,2,2,2,2,3,4,5,4,4,2,0
377,51,32,Male,Loyal Customer,Personal Travel,Eco,3,5,3,4,3,3,3,3,5,4,4,4,4,3,0
954,0,62,Male,Loyal Customer,Personal Travel,Eco,2,5,2,1,3,2,3,3,5,3,5,4,4,3,0
73,64,47,Female,Loyal Customer,Personal Travel,Eco,2,1,2,3,3,2,2,5,5,2,5,2,5,2,0
236,0,36,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,4,5,5,5,5,5,4,5,3,1
588,0,45,Female,Loyal Customer,Business travel,Business,3,3,3,3,2,5,5,4,4,4,4,5,4,4,1
277,0,48,Female,Loyal Customer,Personal Travel,Eco,3,4,3,1,1,5,4,3,3,3,3,2,3,5,0
522,0,30,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,4,4,4,4,2,3,4,4,4,1
1262,0,11,Female,Loyal Customer,Personal Travel,Eco Plus,2,5,2,4,5,2,5,5,5,5,3,3,4,5,0
1585,21,54,Male,Loyal Customer,Personal Travel,Eco Plus,2,1,2,2,4,2,5,4,1,5,1,4,1,4,0
1345,11,16,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,5,5,5,4,3,4,4,4,5,1
2425,21,31,Male,Loyal Customer,Personal Travel,Eco,2,5,2,4,2,2,2,2,4,2,4,4,4,2,0
2548,49,39,Male,Loyal Customer,Business travel,Business,2,2,2,2,5,5,5,5,5,5,5,5,5,4,1
1744,107,43,Male,Loyal Customer,Business travel,Business,4,4,4,4,5,5,4,5,5,4,5,3,5,5,1
606,54,40,Female,Loyal Customer,Business travel,Eco,2,3,3,3,2,3,2,2,2,3,2,4,3,2,0
2701,0,39,Female,Loyal Customer,Business travel,Business,3,1,3,3,4,4,4,5,1,4,1,4,4,4,1
2512,44,40,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,4,1,5,5,5,5,4,5,4,1
399,0,34,Female,Loyal Customer,Business travel,Business,3,4,4,4,5,3,2,3,3,3,3,2,3,2,0
3550,1,45,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,5,5,4,4,4,4,5,4,4,1
447,0,39,Female,disloyal Customer,Business travel,Business,1,1,1,4,4,1,4,4,3,1,4,3,4,4,0
2677,0,7,Male,Loyal Customer,Personal Travel,Eco,2,2,3,3,3,1,1,1,3,3,3,1,1,1,0
2398,0,56,Male,Loyal Customer,Business travel,Business,3,3,3,3,5,4,5,4,4,4,4,4,4,3,1
271,20,47,Female,Loyal Customer,Personal Travel,Eco,3,1,3,4,4,4,3,5,5,3,3,4,5,3,0
2582,0,32,Male,Loyal Customer,Business travel,Business,2,2,2,2,5,5,5,5,3,2,4,4,5,5,1
191,4,37,Female,Loyal Customer,Business travel,Eco Plus,5,4,4,4,5,5,5,5,4,2,1,5,4,5,1
748,0,18,Female,Loyal Customer,Personal Travel,Eco,3,5,3,1,3,3,3,3,4,2,4,3,5,3,0
192,0,22,Female,Loyal Customer,Business travel,Business,5,5,5,5,5,5,4,5,3,5,5,3,4,5,1
223,0,45,Male,Loyal Customer,Business travel,Eco Plus,3,3,3,3,3,3,3,3,1,2,2,5,5,3,1
2886,34,59,Female,Loyal Customer,Business travel,Business,5,5,5,5,3,5,5,5,5,5,5,4,5,4,1
2370,0,52,Male,Loyal Customer,Business travel,Business,4,4,4,4,4,3,5,4,4,4,4,3,4,5,1
967,2,58,Female,Loyal Customer,Personal Travel,Eco,2,5,2,4,2,5,5,1,1,2,1,3,1,4,0
2688,20,25,Female,Loyal Customer,Personal Travel,Eco,1,4,1,3,5,1,5,5,5,5,4,4,4,5,0
853,0,47,Female,disloyal Customer,Business travel,Business,2,2,2,5,4,2,4,4,5,4,4,5,5,4,0
1126,0,28,Female,Loyal Customer,Business travel,Business,2,2,2,2,5,5,5,5,4,3,4,4,5,5,1
3746,13,52,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,5,5,4,4,4,4,4,4,5,1
147,8,37,Female,Loyal Customer,Personal Travel,Eco,2,3,2,3,3,2,3,3,3,4,4,3,3,3,0
2355,0,39,Female,Loyal Customer,Business travel,Business,5,5,1,5,5,4,5,3,3,4,3,3,3,3,1
247,2,64,Male,Loyal Customer,Business travel,Eco Plus,2,4,4,4,2,2,2,2,1,5,3,2,3,2,0
1559,12,44,Male,Loyal Customer,Business travel,Business,1,1,1,1,2,4,5,3,3,4,3,4,3,4,1
2911,0,51,Female,Loyal Customer,Business travel,Business,5,5,5,5,4,4,4,5,5,5,5,4,5,3,1
337,0,58,Female,disloyal Customer,Business travel,Eco Plus,4,3,3,2,3,4,3,3,2,3,3,4,3,3,0
967,27,63,Female,Loyal Customer,Personal Travel,Eco,5,2,5,4,4,4,4,1,1,5,1,4,1,1,1
2378,28,57,Female,Loyal Customer,Business travel,Business,4,4,1,4,5,5,5,4,4,4,5,5,4,5,1
1035,0,59,Female,Loyal Customer,Business travel,Eco,4,2,2,2,1,5,4,4,4,4,4,1,4,5,1
2762,20,74,Female,Loyal Customer,Business travel,Business,1,2,2,2,3,4,4,1,1,1,1,1,1,2,0
2327,0,48,Male,Loyal Customer,Business travel,Business,1,1,1,1,5,5,5,3,4,3,2,5,5,5,1
2451,0,48,Male,Loyal Customer,Business travel,Business,2,5,5,5,3,4,3,2,2,3,2,2,2,1,0
3557,4,46,Female,Loyal Customer,Business travel,Business,1,1,1,1,3,5,4,4,4,4,4,3,4,4,1
950,0,58,Female,Loyal Customer,Personal Travel,Eco,3,3,3,4,4,3,1,5,5,3,5,3,5,2,0
337,0,44,Male,Loyal Customer,Business travel,Business,1,1,1,1,2,4,5,4,4,4,4,3,4,4,1
230,20,36,Male,Loyal Customer,Business travel,Business,3,5,5,5,5,1,1,3,3,2,3,3,3,4,0
529,22,18,Male,Loyal Customer,Personal Travel,Eco,3,2,1,3,3,1,3,3,4,3,3,2,2,3,0
3193,2,56,Female,Loyal Customer,Business travel,Business,4,4,4,4,3,3,4,4,4,4,4,1,4,4,1
696,20,54,Male,Loyal Customer,Business travel,Business,2,2,2,2,3,4,4,2,2,2,2,4,2,5,1
912,15,55,Female,Loyal Customer,Personal Travel,Eco,3,4,3,1,3,5,5,2,2,3,1,5,2,3,0
2293,0,51,Male,Loyal Customer,Business travel,Business,1,1,3,1,4,4,4,4,4,4,4,5,4,4,1
297,9,34,Male,Loyal Customer,Personal Travel,Eco,2,5,5,1,2,5,2,2,5,2,4,5,5,2,0
1782,8,55,Male,Loyal Customer,Business travel,Business,5,5,5,5,4,5,5,2,2,2,2,3,2,3,1
1535,0,62,Male,Loyal Customer,Personal Travel,Eco,3,5,2,2,3,2,3,3,5,5,5,5,4,3,0
1587,6,27,Female,Loyal Customer,Personal Travel,Eco,3,4,3,3,2,3,4,2,4,2,4,5,4,2,0
692,0,25,Female,disloyal Customer,Business travel,Eco,1,1,1,4,4,1,4,4,2,1,3,2,4,4,0
599,12,43,Male,Loyal Customer,Personal Travel,Eco,4,5,4,5,4,4,4,4,3,1,2,5,1,4,1
1558,16,39,Female,Loyal Customer,Business travel,Business,2,2,5,2,2,5,2,5,5,5,3,2,5,3,1
1061,0,25,Male,disloyal Customer,Business travel,Eco,5,5,5,3,5,4,1,5,2,5,5,1,3,1,1
259,1,32,Male,disloyal Customer,Business travel,Business,2,3,3,3,4,3,1,4,3,2,4,3,5,4,0
3772,0,29,Male,Loyal Customer,Business travel,Business,5,5,5,5,5,4,5,5,3,3,5,3,4,5,1
404,4,20,Female,Loyal Customer,Personal Travel,Business,2,3,2,3,4,2,4,4,5,1,2,1,3,4,0
979,6,23,Male,disloyal Customer,Business travel,Eco,2,2,2,3,4,2,4,4,4,3,4,4,3,4,0
446,1,44,Female,Loyal Customer,Business travel,Eco,3,4,4,4,5,2,2,3,3,3,3,3,3,1,0
1893,82,60,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,5,4,4,4,4,4,3,4,4,1
862,23,22,Female,Loyal Customer,Business travel,Eco,2,5,1,5,2,2,1,2,3,3,4,2,3,2,0
2422,29,35,Male,Loyal Customer,Business travel,Business,5,5,5,5,2,5,4,5,5,5,5,5,5,5,1
965,41,47,Female,Loyal Customer,Business travel,Eco Plus,4,5,5,5,3,5,2,4,4,4,4,5,4,2,1
3007,53,55,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,5,5,5,5,5,5,4,5,3,1
239,31,28,Male,Loyal Customer,Personal Travel,Eco,2,5,2,3,5,2,5,5,5,3,4,4,4,5,0
929,0,57,Male,Loyal Customer,Business travel,Business,1,1,1,1,3,5,5,4,4,4,4,5,4,5,1
738,86,25,Male,disloyal Customer,Business travel,Business,1,4,2,4,3,2,1,3,5,5,5,4,5,3,0
3395,0,32,Male,Loyal Customer,Business travel,Business,5,5,5,5,3,2,3,3,3,2,5,5,5,3,1
1290,22,34,Male,Loyal Customer,Personal Travel,Eco,1,2,1,3,2,1,2,2,1,5,4,1,4,2,0
2454,2,7,Female,Loyal Customer,Personal Travel,Business,3,4,3,5,5,3,5,5,4,4,4,5,1,5,0
2923,28,46,Male,Loyal Customer,Business travel,Business,1,1,1,1,3,5,5,5,5,5,5,3,5,5,1
305,0,49,Female,Loyal Customer,Business travel,Eco,2,3,2,3,3,3,4,2,2,2,2,4,2,3,0
277,85,21,Female,disloyal Customer,Business travel,Eco,2,3,3,4,3,3,3,3,1,4,4,1,4,3,0
451,0,55,Male,Loyal Customer,Business travel,Business,1,1,1,1,4,4,5,4,4,4,4,3,4,3,1
515,15,19,Female,Loyal Customer,Personal Travel,Eco,4,4,4,3,4,4,4,4,5,3,4,3,5,4,0
590,0,21,Female,Loyal Customer,Personal Travel,Eco,2,1,2,3,3,2,3,3,3,2,3,1,3,3,0
692,0,50,Female,Loyal Customer,Business travel,Eco,2,4,4,4,4,4,4,2,2,2,2,2,2,2,0
281,21,49,Male,disloyal Customer,Business travel,Business,4,4,4,3,5,4,5,5,5,3,4,3,4,5,1
190,0,36,Female,disloyal Customer,Business travel,Eco,4,0,3,5,3,3,3,3,2,2,4,4,4,3,0
125,0,44,Female,Loyal Customer,Personal Travel,Business,5,2,5,2,5,1,2,1,1,5,1,4,1,4,1
1085,4,63,Male,Loyal Customer,Personal Travel,Eco,2,5,1,4,3,1,4,3,4,4,4,5,5,3,0
679,0,14,Male,Loyal Customer,Personal Travel,Eco,3,4,3,5,1,3,1,1,4,4,5,4,5,1,0
821,0,17,Female,Loyal Customer,Business travel,Business,1,4,4,4,1,1,1,1,3,1,3,4,3,1,0
846,0,60,Male,Loyal Customer,Personal Travel,Eco,3,4,3,4,1,3,1,1,3,5,5,4,5,1,0
257,0,33,Female,Loyal Customer,Business travel,Eco Plus,1,3,3,3,1,1,1,1,4,4,3,2,4,1,0
528,2,25,Female,Loyal Customer,Business travel,Eco,3,5,2,5,3,4,5,3,2,3,1,4,5,3,1
3001,37,32,Female,Loyal Customer,Business travel,Business,3,2,2,2,3,3,3,3,3,3,4,3,4,3,0
864,3,26,Male,disloyal Customer,Business travel,Business,1,0,0,4,3,0,3,3,3,4,4,3,5,3,0
1083,0,41,Female,Loyal Customer,Personal Travel,Business,2,5,2,5,5,4,3,5,5,2,5,1,5,4,0
641,8,22,Female,disloyal Customer,Business travel,Business,0,4,0,5,1,0,2,1,4,3,5,5,4,1,1
1847,0,58,Male,Loyal Customer,Business travel,Business,1,3,3,3,1,3,3,1,1,1,1,1,1,1,0
2538,14,52,Male,Loyal Customer,Business travel,Business,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1
441,0,31,Male,Loyal Customer,Personal Travel,Eco,4,4,4,5,1,4,4,1,5,5,4,1,1,1,0
2565,0,33,Male,Loyal Customer,Personal Travel,Eco,2,5,2,2,2,2,2,2,2,3,4,2,1,2,0
759,23,37,Male,Loyal Customer,Personal Travel,Eco,3,3,3,3,4,3,4,4,2,2,3,1,3,4,0
109,0,49,Female,Loyal Customer,Business travel,Business,4,5,5,5,4,3,3,4,4,4,4,2,4,3,0
2781,0,30,Female,Loyal Customer,Business travel,Business,1,1,1,1,4,4,4,4,3,4,5,4,4,4,1
1990,0,21,Female,Loyal Customer,Personal Travel,Eco,4,2,5,3,3,5,3,3,1,2,3,3,3,3,0
3802,20,51,Female,Loyal Customer,Business travel,Business,4,4,4,4,5,4,4,5,5,5,5,4,5,4,1
314,43,10,Male,Loyal Customer,Personal Travel,Eco,1,4,1,4,2,1,2,2,2,1,3,1,4,2,0
1121,0,29,Female,disloyal Customer,Business travel,Business,2,2,2,4,2,2,2,2,3,4,5,5,5,2,0
2678,16,41,Male,Loyal Customer,Business travel,Business,2,2,2,2,3,5,4,5,5,4,5,4,5,3,1
3950,0,35,Male,Loyal Customer,Business travel,Business,5,5,5,5,2,2,2,5,5,5,3,1,5,1,1
2740,0,36,Male,Loyal Customer,Business travel,Business,2,5,5,5,1,4,3,1,1,1,2,1,1,2,0
1797,0,40,Female,Loyal Customer,Business travel,Business,5,5,5,5,2,4,5,2,2,2,2,4,2,4,1
331,0,55,Male,Loyal Customer,Business travel,Business,3,4,4,4,3,3,3,3,3,3,3,1,3,3,0
262,0,16,Female,Loyal Customer,Business travel,Eco,1,2,2,2,1,1,1,1,2,2,4,4,3,1,0
2556,8,54,Male,Loyal Customer,Business travel,Business,2,2,2,2,4,4,4,3,5,4,5,4,5,4,1
700,0,29,Female,Loyal Customer,Business travel,Business,3,3,5,3,1,2,1,1,5,2,5,3,5,1,1
304,0,62,Female,Loyal Customer,Personal Travel,Eco,4,4,4,4,2,5,4,2,2,4,2,4,2,5,0
2994,0,54,Female,Loyal Customer,Personal Travel,Eco,4,4,4,3,4,2,2,3,5,4,4,2,5,2,1
2091,59,58,Female,Loyal Customer,Business travel,Business,3,3,4,3,5,5,4,4,4,4,4,5,4,3,1
2244,1,37,Male,Loyal Customer,Business travel,Business,1,1,2,1,4,4,5,4,4,4,4,3,4,4,1
2651,0,53,Female,Loyal Customer,Business travel,Business,5,5,5,5,5,4,5,4,4,4,4,5,4,3,1
1345,0,22,Female,disloyal Customer,Business travel,Business,4,0,4,2,5,4,5,5,3,4,5,4,4,5,1
3388,1,50,Male,Loyal Customer,Business travel,Business,3,3,3,3,4,4,5,5,5,5,5,4,5,3,1
82,0,18,Male,Loyal Customer,Personal Travel,Eco,4,1,4,4,4,4,4,4,1,4,3,4,4,4,0
221,0,36,Female,disloyal Customer,Business travel,Eco Plus,3,3,3,3,3,3,3,3,1,5,1,5,3,3,0
1119,0,45,Female,Loyal Customer,Personal Travel,Eco,3,5,3,3,5,5,5,4,4,3,4,4,4,4,0
2615,0,32,Male,Loyal Customer,Business travel,Business,3,2,2,2,3,3,3,3,4,1,4,4,4,3,0
1121,4,22,Female,Loyal Customer,Business travel,Eco,5,1,1,1,5,5,3,5,4,4,3,1,5,5,1
201,0,33,Male,Loyal Customer,Business travel,Business,2,2,2,2,5,5,3,5,2,5,5,5,1,5,1
772,25,30,Female,disloyal Customer,Business travel,Eco,3,3,3,4,5,3,5,5,2,3,4,1,3,5,0
931,0,26,Male,disloyal Customer,Business travel,Business,0,0,0,3,2,0,2,2,3,2,4,4,5,2,1
2701,10,43,Female,Loyal Customer,Personal Travel,Eco,1,4,1,1,3,4,5,2,2,1,5,3,2,5,0
2288,5,19,Female,Loyal Customer,Business travel,Business,2,2,2,2,5,4,5,5,3,4,4,3,5,5,1
937,0,26,Female,disloyal Customer,Business travel,Business,4,4,4,2,3,4,3,3,3,2,4,4,4,3,1
1009,0,32,Male,Loyal Customer,Personal Travel,Eco,4,5,4,3,1,4,1,1,3,5,5,3,4,1,0
1764,0,43,Female,Loyal Customer,Business travel,Business,4,4,4,4,4,4,4,4,4,4,4,5,4,3,1
631,1,25,Male,Loyal Customer,Business travel,Business,5,5,5,5,2,2,2,2,4,4,4,4,4,2,1
584,0,33,Male,Loyal Customer,Business travel,Business,4,4,4,4,5,5,5,5,4,2,3,4,1,5,1
